,Y1,Y2,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.279,2.0939,2.7221,161.3909,10969.0323,1116.0474,972.6849,6856.017,209.1338,21692556.2214,56726.9086,9276.5259
std,0.4485299520788067,0.8238632562910746,1.061218266155004,117.88821425526866,596.8533607596868,181.95201677057804,109.46099297415594,5193.419096192973,114.50321653219818,31109378.626147132,71945.9393907269,355.9529679335864
min,0.0,1.0,1.0,0.0,9747.0,669.0,745.0,0.0,36.0,10017.0,0.0,8178.0
25%,0.0,1.0,2.0,57.0,10461.75,989.0,871.0,2744.0,95.0,79268.5,67.0,9031.0
50%,0.0,2.0,3.0,132.0,10967.0,1115.0,1018.0,5791.5,208.0,203709.5,18872.0,9274.0
75%,1.0,3.0,4.0,272.25,11468.25,1247.0,1053.0,9437.5,322.0,41871834.75,100407.5,9554.0
max,1.0,3.0,4.0,454.0,12235.0,1499.0,1173.0,24861.0,378.0,100003725.0,254234.0,9999.0
